x,y,bucket,longitude,latitude,speed
409.896,242.137,1,-122.443,37.747,9.879
283.308,598.913,3,-122.464,37.803,21.914
644.988,12.781,2,-122.404,37.711,11.076
482.232,382.299,1,-122.431,37.769,9.634
584.708,452.380,2,-122.414,37.78,10.136
210.972,471.493,2,-122.476,37.783,12.037
150.692,331.331,2,-122.486,37.761,10.178
500.316,420.525,2,-122.428,37.775,10.438
60.272,133.830,3,-122.501,37.73,15.940
415.924,82.862,3,-122.442,37.722,18.750
572.652,350.444,2,-122.416,37.764,10.054
319.476,133.830,2,-122.458,37.73,10.556
651.016,388.670,2,-122.403,37.77,10.136
644.988,305.847,3,-122.404,37.757,15.314
434.008,496.977,2,-122.439,37.787,11.476
687.184,420.525,5,-122.397,37.775,14.184
458.120,369.557,1,-122.435,37.767,9.818
271.252,19.152,2,-122.466,37.712,13.726
379.756,70.120,3,-122.448,37.72,22.790
777.604,184.798,2,-122.382,37.738,11.111
675.128,159.314,3,-122.399,37.734,22.222
289.336,299.476,2,-122.463,37.756,13.714
632.932,267.621,2,-122.406,37.751,11.417
452.092,420.525,2,-122.436,37.775,10.263
693.212,248.508,2,-122.396,37.748,11.207
620.876,439.638,2,-122.408,37.778,11.925
663.072,254.879,2,-122.401,37.749,11.988
192.888,414.154,2,-122.479,37.774,11.713
771.576,420.525,2,-122.383,37.775,11.111
693.212,152.943,4,-122.396,37.733,34.584
638.960,356.815,3,-122.405,37.765,19.563
307.420,573.429,2,-122.46,37.799,10.556
819.800,586.171,3,-122.375,37.801,18.770
54.244,152.943,5,-122.502,37.733,14.722
361.672,592.542,3,-122.451,37.802,17.421
295.364,477.864,2,-122.462,37.784,10.417
494.288,25.523,2,-122.429,37.713,11.111
602.792,528.832,2,-122.411,37.792,11.201
307.420,184.798,3,-122.46,37.738,16.944
644.988,286.734,2,-122.404,37.754,10.318
434.008,140.201,3,-122.439,37.731,21.376
711.296,363.186,3,-122.393,37.766,20.399
548.540,516.090,2,-122.42,37.79,10.903
36.160,184.798,1,-122.505,37.738,9.624
705.268,191.169,3,-122.394,37.739,19.907
434.008,401.412,2,-122.439,37.772,10.695
325.504,369.557,2,-122.457,37.767,12.130
638.960,31.894,2,-122.405,37.714,10.278
307.420,414.154,2,-122.46,37.774,12.139
506.344,446.009,2,-122.427,37.779,10.179
66.300,76.491,3,-122.5,37.721,17.203
192.888,573.429,2,-122.479,37.799,11.598
699.240,305.847,3,-122.395,37.757,19.676
572.652,25.523,2,-122.416,37.713,10.608
825.828,605.284,2,-122.374,37.804,10.000
687.184,528.832,2,-122.397,37.792,13.053
150.692,191.169,1,-122.486,37.739,9.800
241.112,344.073,1,-122.471,37.763,9.722
753.492,223.024,2,-122.386,37.744,12.361
253.168,114.717,3,-122.469,37.727,23.056
614.848,25.523,2,-122.409,37.713,13.333
337.560,293.105,1,-122.455,37.755,9.645
536.484,63.749,2,-122.422,37.719,12.964
554.568,280.363,2,-122.419,37.753,10.001
277.280,6.410,3,-122.465,37.71,22.476
729.380,477.864,2,-122.39,37.784,10.215
72.328,528.832,2,-122.499,37.792,12.778
307.420,229.395,3,-122.46,37.745,18.889
620.876,286.734,3,-122.408,37.754,20.222
518.400,484.235,2,-122.425,37.785,10.337
343.588,121.088,3,-122.454,37.728,25.635
506.344,152.943,2,-122.427,37.733,11.020
174.804,452.380,2,-122.482,37.78,11.667
36.160,229.395,2,-122.505,37.745,11.205
168.776,624.397,3,-122.483,37.807,22.778
138.636,146.572,2,-122.488,37.732,10.556
