x,y,bucket,longitude,latitude,speed
632.932,465.122,1,-122.406,37.782,11.667
379.756,586.171,1,-122.448,37.801,11.556
693.212,465.122,1,-122.396,37.782,11.713
554.568,452.380,1,-122.419,37.78,10.556
669.100,51.007,1,-122.4,37.717,14.278
578.680,605.284,1,-122.415,37.804,11.574
78.356,159.314,1,-122.498,37.734,13.333
723.352,439.638,1,-122.391,37.778,13.125
596.764,433.267,1,-122.412,37.777,11.111
711.296,356.815,2,-122.393,37.765,21.444
632.932,0.039,1,-122.406,37.709,10.556
657.044,25.523,1,-122.402,37.713,11.945
174.804,356.815,1,-122.482,37.765,11.667
626.904,509.719,1,-122.407,37.789,10.278
271.252,299.476,1,-122.466,37.756,10.834
681.156,388.670,2,-122.398,37.77,19.417
735.408,395.041,1,-122.389,37.771,12.333
235.084,363.186,1,-122.472,37.766,11.111
705.268,356.815,2,-122.394,37.765,26.112
608.820,63.749,1,-122.41,37.719,12.222
385.784,235.766,2,-122.447,37.746,16.389
421.952,573.429,1,-122.441,37.799,11.898
108.496,38.265,1,-122.493,37.715,14.306
217.000,76.491,1,-122.475,37.721,12.778
753.492,127.459,1,-122.386,37.729,10.278
632.932,458.751,1,-122.406,37.781,13.611
681.156,522.461,1,-122.398,37.791,11.111
253.168,203.911,1,-122.469,37.741,11.621
283.308,420.525,1,-122.464,37.775,10.556
693.212,458.751,1,-122.396,37.781,11.111
96.440,44.636,1,-122.495,37.716,11.667
566.624,331.331,1,-122.417,37.761,11.389
90.412,452.380,1,-122.496,37.78,11.806
229.056,152.943,1,-122.473,37.733,11.574
90.412,331.331,1,-122.496,37.761,11.278
210.972,452.380,1,-122.476,37.78,10.278
566.624,452.380,1,-122.417,37.78,10.278
506.344,235.766,1,-122.427,37.746,13.194
608.820,439.638,1,-122.41,37.778,10.278
66.300,140.201,1,-122.5,37.731,11.111
735.408,458.751,1,-122.389,37.781,12.161
-0.008,388.670,1,-122.511,37.77,12.870
717.324,312.218,2,-122.392,37.758,22.732
657.044,101.975,1,-122.402,37.725,12.130
657.044,509.719,1,-122.402,37.789,11.346
675.128,356.815,1,-122.399,37.765,10.278
741.436,273.992,1,-122.388,37.752,13.712
235.084,70.120,1,-122.472,37.72,12.223
548.540,363.186,1,-122.42,37.766,11.667
632.932,395.041,2,-122.406,37.771,17.037
554.568,414.154,1,-122.419,37.774,11.945
66.300,401.412,1,-122.5,37.772,13.982
717.324,350.444,2,-122.392,37.764,20.833
102.468,223.024,1,-122.494,37.744,12.500
675.128,528.832,1,-122.399,37.792,14.597
253.168,567.058,2,-122.469,37.798,18.194
644.988,146.572,2,-122.404,37.732,20.556
632.932,490.606,2,-122.406,37.786,15.143
319.476,254.879,2,-122.458,37.749,15.004
542.512,414.154,1,-122.421,37.774,14.667
241.112,0.039,1,-122.471,37.709,13.889
313.448,465.122,1,-122.459,37.782,11.759
265.224,407.783,1,-122.467,37.773,11.713
644.988,6.410,1,-122.404,37.71,12.014
132.608,210.282,1,-122.489,37.742,10.741
693.212,375.928,2,-122.396,37.768,22.593
307.420,350.444,1,-122.46,37.764,10.903
632.932,375.928,1,-122.406,37.768,14.167
72.328,331.331,1,-122.499,37.761,10.602
331.532,95.604,1,-122.456,37.724,12.111
150.692,216.653,1,-122.486,37.743,10.834
96.440,426.896,1,-122.495,37.776,11.667
614.848,363.186,1,-122.409,37.766,10.348
777.604,547.945,2,-122.382,37.795,23.611
241.112,458.751,1,-122.471,37.781,10.695
217.000,127.459,1,-122.475,37.729,13.278
470.176,401.412,1,-122.433,37.772,10.973
72.328,452.380,1,-122.499,37.78,12.639
608.820,19.152,1,-122.41,37.712,10.278
638.960,191.169,1,-122.405,37.739,10.695
319.476,235.766,1,-122.458,37.746,12.685
