x,y,bucket,longitude,latitude,speed
343.588,407.783,1,-122.454,37.773,8.241
681.156,528.832,2,-122.398,37.792,14.668
361.672,223.024,2,-122.451,37.744,12.722
849.940,618.026,3,-122.37,37.806,16.389
638.960,363.186,3,-122.405,37.766,17.889
657.044,31.894,1,-122.402,37.714,9.383
102.468,197.540,2,-122.494,37.74,11.191
753.492,522.461,3,-122.386,37.791,20.092
458.120,293.105,1,-122.435,37.755,8.611
186.860,70.120,2,-122.48,37.72,11.736
108.496,286.734,1,-122.493,37.754,9.167
331.532,592.542,1,-122.456,37.802,8.056
313.448,458.751,1,-122.459,37.781,9.861
494.288,140.201,2,-122.429,37.731,11.878
632.932,146.572,1,-122.406,37.732,8.333
174.804,516.090,2,-122.482,37.79,11.000
283.308,484.235,1,-122.464,37.785,9.722
801.716,567.058,3,-122.378,37.798,22.778
283.308,293.105,2,-122.464,37.755,13.879
566.624,414.154,1,-122.417,37.774,9.528
247.140,598.913,3,-122.47,37.803,18.472
705.268,516.090,1,-122.394,37.79,9.167
663.072,89.233,3,-122.401,37.723,17.415
18.076,324.960,1,-122.508,37.76,8.612
669.100,484.235,1,-122.4,37.785,8.982
657.044,95.604,2,-122.402,37.724,10.139
572.652,191.169,1,-122.416,37.739,9.722
470.176,598.913,2,-122.433,37.803,10.278
229.056,503.348,2,-122.473,37.788,13.333
663.072,439.638,2,-122.401,37.778,10.139
174.804,522.461,2,-122.482,37.791,10.278
301.392,344.073,1,-122.461,37.763,8.056
259.196,407.783,1,-122.468,37.773,9.792
524.428,127.459,2,-122.424,37.729,10.625
403.868,197.540,2,-122.444,37.74,13.657
427.980,331.331,1,-122.44,37.761,9.723
729.380,299.476,1,-122.39,37.756,9.618
440.036,305.847,1,-122.438,37.757,8.750
494.288,401.412,2,-122.429,37.772,10.278
711.296,76.491,1,-122.393,37.721,9.398
705.268,522.461,1,-122.394,37.791,9.229
367.700,44.636,3,-122.45,37.716,17.500
156.720,496.977,2,-122.485,37.787,10.104
626.904,216.653,3,-122.407,37.743,22.381
427.980,452.380,1,-122.44,37.78,8.389
518.400,191.169,2,-122.425,37.739,11.482
681.156,76.491,1,-122.398,37.721,9.861
675.128,522.461,3,-122.399,37.791,15.287
693.212,560.687,2,-122.396,37.797,10.185
464.148,293.105,1,-122.434,37.755,9.028
632.932,560.687,1,-122.406,37.797,8.426
554.568,331.331,1,-122.419,37.761,9.091
223.028,363.186,2,-122.474,37.766,11.944
632.932,465.122,2,-122.406,37.782,10.370
693.212,465.122,1,-122.396,37.782,9.028
379.756,586.171,2,-122.448,37.801,12.130
259.196,254.879,1,-122.468,37.749,8.611
554.568,452.380,1,-122.419,37.78,9.278
271.252,433.267,1,-122.466,37.777,9.722
229.056,286.734,1,-122.473,37.754,8.611
675.128,516.090,2,-122.399,37.79,10.139
669.100,51.007,2,-122.4,37.717,11.065
78.356,159.314,2,-122.498,37.734,13.357
723.352,439.638,1,-122.391,37.778,8.473
675.128,388.670,3,-122.399,37.77,20.833
711.296,356.815,3,-122.393,37.765,19.792
632.932,0.039,1,-122.406,37.709,9.167
657.044,25.523,1,-122.402,37.713,9.757
687.184,369.557,2,-122.397,37.767,10.093
174.804,356.815,2,-122.482,37.765,11.528
397.840,554.316,1,-122.445,37.796,9.445
12.048,407.783,1,-122.509,37.773,8.981
271.252,299.476,1,-122.466,37.756,9.931
235.084,363.186,2,-122.472,37.766,11.852
735.408,395.041,2,-122.389,37.771,11.250
681.156,388.670,3,-122.398,37.77,21.481
530.456,452.380,2,-122.423,37.78,10.000
705.268,356.815,3,-122.394,37.765,22.500
421.952,573.429,1,-122.441,37.799,9.653
608.820,63.749,2,-122.41,37.719,12.084
488.260,426.896,1,-122.43,37.776,8.611
108.496,38.265,2,-122.493,37.715,14.861
217.000,76.491,1,-122.475,37.721,9.418
753.492,127.459,2,-122.386,37.729,10.833
681.156,522.461,1,-122.398,37.791,9.048
253.168,203.911,1,-122.469,37.741,9.470
675.128,76.491,1,-122.399,37.721,9.340
693.212,458.751,1,-122.396,37.781,8.426
283.308,420.525,1,-122.464,37.775,8.334
96.440,44.636,2,-122.495,37.716,11.389
