x,y,bucket,longitude,latitude,speed
548.540,70.120,3,-122.42,37.72,17.222
235.084,363.186,2,-122.472,37.766,11.122
681.156,388.670,3,-122.398,37.77,19.300
530.456,452.380,5,-122.423,37.78,10.069
373.728,19.152,2,-122.449,37.712,11.621
421.952,573.429,5,-122.441,37.799,10.533
108.496,38.265,3,-122.493,37.715,16.255
632.932,458.751,2,-122.406,37.781,11.312
253.168,203.911,5,-122.469,37.741,10.308
470.176,369.557,5,-122.433,37.767,10.291
397.840,312.218,5,-122.445,37.758,10.155
403.868,401.412,2,-122.444,37.772,12.445
825.828,51.007,5,-122.374,37.717,10.278
96.440,44.636,2,-122.495,37.716,11.335
771.576,178.427,5,-122.383,37.737,10.926
476.204,350.444,3,-122.432,37.764,22.222
277.280,89.233,5,-122.465,37.723,10.278
789.660,547.945,3,-122.38,37.795,19.733
446.064,44.636,2,-122.437,37.716,13.195
325.504,31.894,2,-122.457,37.714,11.852
464.148,242.137,1,-122.434,37.747,10.000
669.100,420.525,5,-122.4,37.775,10.722
777.604,516.090,3,-122.382,37.79,27.408
174.804,76.491,5,-122.482,37.721,10.352
572.652,363.186,5,-122.416,37.766,10.496
331.532,31.894,5,-122.456,37.714,10.101
771.576,496.977,3,-122.383,37.787,18.056
-0.008,388.670,2,-122.511,37.77,12.922
705.268,76.491,2,-122.394,37.721,12.222
385.784,407.783,2,-122.447,37.773,11.445
717.324,312.218,3,-122.392,37.758,21.542
657.044,101.975,3,-122.402,37.725,17.812
657.044,509.719,5,-122.402,37.789,10.761
289.336,19.152,5,-122.463,37.712,10.648
765.548,191.169,2,-122.384,37.739,13.210
711.296,388.670,3,-122.393,37.77,24.861
108.496,337.702,2,-122.493,37.762,13.889
409.896,598.913,1,-122.443,37.803,9.504
132.608,350.444,2,-122.489,37.764,13.056
554.568,414.154,5,-122.419,37.774,10.823
144.664,82.862,2,-122.487,37.722,13.333
747.464,535.203,3,-122.387,37.793,17.083
675.128,528.832,5,-122.399,37.792,10.393
210.972,496.977,3,-122.476,37.787,17.037
566.624,496.977,1,-122.417,37.787,9.827
397.840,618.026,5,-122.445,37.806,10.278
313.448,465.122,5,-122.459,37.782,10.572
458.120,242.137,5,-122.435,37.747,10.972
687.184,401.412,3,-122.397,37.772,17.207
265.224,407.783,2,-122.467,37.773,11.065
409.896,229.395,1,-122.443,37.745,9.792
361.672,197.540,1,-122.451,37.74,9.722
657.044,471.493,5,-122.402,37.783,10.391
753.492,76.491,3,-122.386,37.721,19.444
247.140,140.201,2,-122.47,37.731,11.320
247.140,401.412,2,-122.47,37.772,12.408
614.848,363.186,5,-122.409,37.766,10.027
108.496,152.943,2,-122.493,37.733,12.331
114.524,446.009,2,-122.492,37.779,11.230
204.944,439.638,1,-122.477,37.778,9.167
440.036,446.009,5,-122.438,37.779,10.062
687.184,140.201,1,-122.397,37.731,9.167
644.988,560.687,5,-122.404,37.797,10.897
126.580,490.606,2,-122.49,37.786,12.222
843.912,605.284,3,-122.371,37.804,21.893
126.580,375.928,5,-122.49,37.768,14.722
421.952,184.798,2,-122.441,37.738,13.750
301.392,57.378,5,-122.461,37.718,10.556
500.316,401.412,1,-122.428,37.772,9.939
560.596,229.395,2,-122.418,37.745,11.112
596.764,203.911,3,-122.412,37.741,16.250
301.392,579.800,5,-122.461,37.8,10.973
500.316,140.201,2,-122.428,37.731,11.416
210.972,178.427,2,-122.476,37.737,11.856
415.924,560.687,3,-122.442,37.797,16.389
735.408,490.606,2,-122.389,37.786,12.383
36.160,280.363,1,-122.505,37.753,9.968
108.496,248.508,1,-122.493,37.748,9.486
735.408,375.928,5,-122.389,37.768,10.969
349.616,420.525,1,-122.453,37.775,9.594
584.708,592.542,2,-122.414,37.802,11.111
524.428,522.461,5,-122.424,37.791,10.069
379.756,516.090,1,-122.448,37.79,9.306
66.300,331.331,1,-122.5,37.761,9.396
500.316,496.977,5,-122.428,37.787,10.587
229.056,477.864,2,-122.473,37.784,11.883
524.428,312.218,5,-122.424,37.758,10.417
530.456,223.024,2,-122.423,37.744,13.472
301.392,89.233,2,-122.461,37.723,11.389
440.036,337.702,2,-122.438,37.762,11.537
247.140,178.427,5,-122.47,37.737,10.312
180.832,95.604,5,-122.481,37.724,10.556
626.904,293.105,5,-122.407,37.755,10.868
66.300,452.380,5,-122.5,37.78,10.973
114.524,337.702,5,-122.492,37.762,10.556
313.448,426.896,5,-122.459,37.776,10.384
657.044,51.007,3,-122.402,37.717,17.407
548.540,184.798,5,-122.42,37.738,10.556
150.692,273.992,1,-122.486,37.752,9.722
385.784,108.346,3,-122.447,37.726,29.000
434.008,420.525,1,-122.439,37.775,9.965
259.196,567.058,3,-122.468,37.798,17.349
