x,y,bucket,longitude,latitude,speed
361.672,369.557,2,-122.451,37.767,10.648
705.268,516.090,2,-122.394,37.79,10.170
663.072,89.233,3,-122.401,37.723,18.496
18.076,324.960,1,-122.508,37.76,9.722
669.100,484.235,1,-122.4,37.785,9.167
657.044,95.604,3,-122.402,37.724,17.391
542.512,496.977,1,-122.421,37.787,9.892
548.540,191.169,2,-122.42,37.739,10.092
174.804,522.461,2,-122.482,37.791,12.639
524.428,127.459,2,-122.424,37.729,10.589
427.980,331.331,2,-122.44,37.761,10.260
440.036,82.862,2,-122.438,37.722,11.667
644.988,382.299,3,-122.404,37.769,22.500
494.288,401.412,1,-122.429,37.772,9.722
705.268,522.461,2,-122.394,37.791,10.722
530.456,414.154,2,-122.423,37.774,10.108
229.056,318.589,1,-122.473,37.759,9.445
620.876,407.783,2,-122.408,37.773,10.642
307.420,586.171,3,-122.46,37.801,17.917
156.720,496.977,2,-122.485,37.787,10.237
427.980,452.380,1,-122.44,37.78,9.982
735.408,465.122,2,-122.389,37.782,11.111
663.072,63.749,2,-122.401,37.719,11.825
217.000,388.670,2,-122.475,37.77,13.333
295.364,44.636,2,-122.462,37.716,13.333
693.212,560.687,2,-122.396,37.797,11.959
229.056,114.717,2,-122.473,37.727,10.347
409.896,369.557,2,-122.443,37.767,10.278
464.148,293.105,1,-122.434,37.755,9.537
554.568,331.331,2,-122.419,37.761,10.376
632.932,465.122,2,-122.406,37.782,10.022
379.756,586.171,2,-122.448,37.801,12.301
391.812,273.992,1,-122.446,37.752,9.584
868.024,605.284,3,-122.367,37.804,18.333
259.196,254.879,1,-122.468,37.749,9.484
554.568,452.380,2,-122.419,37.78,10.216
313.448,490.606,2,-122.459,37.786,10.708
271.252,433.267,1,-122.466,37.777,9.578
669.100,51.007,5,-122.4,37.717,14.037
42.188,318.589,2,-122.504,37.759,10.833
723.352,439.638,2,-122.391,37.778,10.608
675.128,388.670,3,-122.399,37.77,16.944
632.932,0.039,2,-122.406,37.709,10.045
657.044,25.523,1,-122.402,37.713,9.900
452.092,496.977,2,-122.436,37.787,10.835
174.804,356.815,2,-122.482,37.765,11.398
506.344,407.783,1,-122.427,37.773,9.921
403.868,140.201,2,-122.444,37.731,13.889
12.048,407.783,1,-122.509,37.773,9.797
271.252,299.476,2,-122.466,37.756,10.267
548.540,70.120,3,-122.42,37.72,16.944
235.084,363.186,2,-122.472,37.766,10.989
681.156,388.670,3,-122.398,37.77,19.303
530.456,452.380,2,-122.423,37.78,10.157
705.268,356.815,3,-122.394,37.765,23.407
385.784,235.766,2,-122.447,37.746,13.098
421.952,573.429,2,-122.441,37.799,10.521
108.496,38.265,3,-122.493,37.715,16.360
753.492,127.459,2,-122.386,37.729,10.507
632.932,458.751,2,-122.406,37.781,10.278
253.168,203.911,2,-122.469,37.741,10.364
470.176,369.557,1,-122.433,37.767,9.869
397.840,312.218,2,-122.445,37.758,10.000
403.868,401.412,2,-122.444,37.772,12.081
96.440,44.636,2,-122.495,37.716,11.134
361.672,598.913,3,-122.451,37.803,16.593
789.660,547.945,3,-122.38,37.795,19.460
229.056,152.943,2,-122.473,37.733,11.084
464.148,242.137,2,-122.434,37.747,10.000
669.100,420.525,2,-122.4,37.775,10.278
48.216,89.233,3,-122.503,37.723,16.475
506.344,235.766,2,-122.427,37.746,10.487
434.008,95.604,2,-122.439,37.724,10.079
717.324,280.363,3,-122.392,37.753,23.552
174.804,76.491,1,-122.482,37.721,9.167
536.484,426.896,1,-122.422,37.776,9.723
572.652,363.186,1,-122.416,37.766,9.723
331.532,31.894,2,-122.456,37.714,10.049
735.408,458.751,2,-122.389,37.781,10.996
-0.008,388.670,2,-122.511,37.77,13.222
385.784,407.783,2,-122.447,37.773,12.778
717.324,312.218,3,-122.392,37.758,20.681
657.044,101.975,3,-122.402,37.725,18.342
657.044,509.719,2,-122.402,37.789,10.719
289.336,19.152,2,-122.463,37.712,11.667
409.896,598.913,1,-122.443,37.803,9.375
693.212,395.041,3,-122.396,37.771,18.611
554.568,414.154,2,-122.419,37.774,11.061
747.464,535.203,3,-122.387,37.793,17.778
229.056,38.265,2,-122.473,37.715,10.342
675.128,528.832,2,-122.399,37.792,10.371
210.972,496.977,3,-122.476,37.787,18.333
632.932,490.606,2,-122.406,37.786,12.208
566.624,496.977,1,-122.417,37.787,9.828
319.476,254.879,3,-122.458,37.749,16.130
241.112,0.039,3,-122.471,37.709,15.426
